year,AirlineName,Ticket Sales,Revenue,RPK,Yield
2012,CI,510,520,112.9,21.6
2012,MU,514,561,113,34.8
2012,CZ,578,525,113.1,44.8
2012,DL,524,548,113.2,34.3
2012,H14,512,539,113.3,26.4
2012,MS,597,597,113.4,17.5
2013,EK,563,568,113.5,32.8
2013,BR,528,592,113.6,38.2
2013,FX,579,574,113.7,48.7
2013,AY,533,599,113.8,16.8
2013,GA,582,561,113.9,31.3
2013,KA,599,511,114,48.7
2013,IR,577,558,114.1,17.6
2013,JL,584,502,114.2,41.2
2013,EG,546,537,114.3,23.3
2014,KL,510,571,114.4,18.5
2014,KE,598,547,114.5,18.5
2014,LH,517,552,114.6,24.8
2014,MH,582,516,114.7,23.6
2014,OM,553,536,114.8,31.1
2014,NW,525,506,114.9,13.9
2014,KZ,574,544,115,45.8
2014,PR,557,526,115.1,40.1
2014,PK,551,566,115.2,38.6
2015,PO,582,535,115.3,41.7
2015,RA,595,585,115.4,20.9
2015,SK,551,574,115.5,46.6
2015,UL,508,559,115.6,24.5
2015,SQ,504,575,115.7,24.1
2015,LX,539,569,115.8,24.5
2015,FM,538,595,115.9,34.1
2015,TG,540,570,116,25.9
2015,TK,590,518,116.1,37.4
2016,NZ,570,576,0.1,49.8
2016,AI,537,569,0.2,26.5
2016,AM,510,577,0.3,45
2016,NH,595,526,0.4,40.4
2016,TN,579,547,0.5,40.6
2016,OS,597,574,0.6,30.9
2016,FJ,561,507,0.7,19.3
2017,LD,589,525,0.8,32.8
2017,SU,511,520,0.9,26.3
2017,PX,536,558,1,18.7
2017,EL,551,534,1.1,26.1
2017,OZ,515,569,1.2,20
2017,CA,514,576,1.3,39.4
2017,BA,520,519,1.4,17.6
2018,CO,535,592,1.5,43.1
2018,CX,506,529,1.6,29.2
2018,CV,507,540,1.7,33.1
2018,CI,549,543,1.8,34.3
2018,MU,552,588,1.9,40.2
2018,CZ,588,509,2,45.5
2018,DL,581,519,2.1,46.7
2019,H8,596,566,2.2,37.5
2019,MS,529,516,2.3,29.8
2019,EK,557,514,2.4,48.2
2019,BR,560,510,2.5,33.8
2019,FX,516,505,2.6,21.8
2019,AY,586,530,2.7,35.8
2019,GA,528,506,2.8,31.2
2020,KA,530,568,2.9,33.5
2020,IR,552,588,3,16.6
2020,JL,515,596,3.1,38.3
2020,EG,565,516,3.2,40.8
2020,KL,585,515,3.3,41.3
2020,KE,520,591,3.4,28.3
2020,LH,555,540,3.5,39.1
2020,MH,594,588,3.6,39.6
